size,processes,time
100,1,0.000024
100,2,0.000012
100,4,0.000006
100,8,0.000003
100,10,0.000003
100,12,0.000002
100,14,0.000002
200,1,0.000093
200,2,0.000050
200,4,0.000026
200,8,0.000012
200,10,0.000010
200,12,0.000008
200,14,0.000007
400,1,0.000377
400,2,0.000183
400,4,0.000106
400,8,0.000050
400,10,0.000039
400,12,0.000034
400,14,0.000028
800,1,0.001469
800,2,0.000741
800,4,0.000411
800,8,0.000253
800,10,0.000170
800,12,0.000136
800,14,0.000110
1600,1,0.006248
1600,2,0.003232
1600,4,0.001596
1600,8,0.000862
1600,10,0.000709
1600,12,0.000613
1600,14,0.000505
6400,1,0.097556
6400,2,0.048984
6400,4,0.027811
6400,8,0.012439
6400,10,0.025276
6400,12,0.008278
6400,14,0.007392